date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
108年 12月,3009,3119,1519,1975,1585,2040,495,482,464,1006,460,622,442,834,196,398,82,374,345,273,69,2
109年 1月,2318,2627,1417,1740,1501,1694,490,416,383,793,348,515,383,645,161,363,87,286,229,213,103,8
109年 2月,2851,2770,1466,1927,1719,2154,545,502,350,948,373,636,445,752,177,353,76,339,319,264,88,4
109年 3月,3275,3000,1525,2253,1991,2451,630,579,362,1104,528,734,517,776,234,403,112,402,367,350,113,11
109年 4月,3134,2827,1623,1962,1842,2052,482,562,325,1050,447,755,520,692,267,382,79,328,333,283,89,8
109年 5月,3210,2981,1770,1700,1940,2062,613,629,352,1179,454,740,510,688,252,427,92,414,393,261,92,13
109年 6月,3044,2993,1624,1585,1869,1859,568,516,405,1008,432,625,441,690,215,447,93,391,346,234,90,21
109年 7月,3007,2963,1695,1902,1814,1971,574,682,385,1138,479,624,500,736,266,434,101,384,333,326,71,19
109年 8月,2392,3006,1962,1961,2022,2127,614,552,392,1191,443,700,562,770,241,433,107,432,359,269,84,16
109年 9月,2105,2709,1658,2151,1778,1955,640,533,428,1133,469,577,482,694,173,394,91,364,275,291,74,9
109年 10月,2380,2893,1536,2190,1695,1785,519,506,422,998,423,561,454,664,145,232,82,361,220,232,72,9
109年 11月,2707,3355,1564,2093,1956,1888,706,485,487,1469,472,551,504,747,223,292,109,465,338,246,79,8
109年 12月,2759,3288,1709,1896,1799,1757,618,483,561,1294,450,518,510,771,223,314,90,383,391,268,103,5
110年 1月,2419,3296,1518,1925,1907,1786,617,482,367,1250,452,572,465,713,179,298,111,449,299,272,68,12
110年 2月,2018,2480,1171,1534,1653,1351,523,385,329,951,425,502,421,573,149,282,81,310,255,236,58,13
110年 3月,2737,2717,1557,2106,2101,2225,638,577,346,1141,568,615,554,719,208,353,118,414,361,340,76,7
110年 4月,2672,2556,1447,1926,1889,2040,645,442,287,867,463,600,514,658,191,313,112,379,343,259,82,8
110年 5月,2803,2695,1676,1730,1779,2039,499,509,354,905,453,659,452,760,190,342,109,370,293,276,76,8
110年 6月,1721,1642,1299,1147,1283,1637,395,352,312,583,340,440,410,620,98,226,67,264,262,187,76,12
110年 7月,2051,2028,1453,1439,1515,1623,532,385,315,679,379,489,315,557,142,256,81,308,238,261,71,15
110年 8月,2683,2785,1826,1852,1900,1926,583,508,365,843,476,571,410,658,221,333,69,435,375,317,90,10
110年 9月,2747,2774,1689,1983,1926,1904,570,497,449,1012,477,624,494,738,191,334,117,384,278,311,82,17
110年 10月,2611,2713,1630,2020,1962,1689,484,445,417,1049,474,633,479,666,184,340,122,342,311,281,82,22
110年 11月,2769,2649,1594,2065,1877,1725,475,514,595,1139,537,589,533,684,220,367,120,378,391,346,104,7
110年 12月,2894,2695,1456,2094,1703,1843,455,395,437,1055,486,491,426,654,186,318,104,455,386,274,89,7
111年 1月,2303,2565,1327,1709,1890,1600,505,439,367,1153,539,546,422,694,229,380,111,366,289,281,74,13
111年 2月,2129,2189,1095,1466,1682,1299,433,340,322,986,414,427,415,667,215,348,59,321,277,223,55,9
111年 3月,2650,2919,1372,2044,2217,1635,613,444,428,1447,566,678,518,721,258,365,115,390,329,351,82,7
111年 4月,2472,2602,1514,1767,2106,1705,500,638,568,1088,500,672,456,706,239,338,88,432,348,293,81,11
111年 5月,3409,2620,2896,1669,2014,2063,536,875,637,1228,507,1042,458,804,305,367,95,546,381,308,87,8
111年 6月,2417,2427,1878,1281,1594,1514,528,622,647,593,449,655,364,748,218,332,85,511,214,279,83,3
111年 7月,3161,3122,2108,1626,2283,1876,717,683,573,547,582,1017,458,803,342,523,122,614,295,354,85,32
