date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
95年 12月,4155,1864,2108,2898,1767,2790,240,437,379,640,396,638,278,680,111,277,13,235,435,359,11,－
96年 1月,4251,1757,2050,3044,1668,2624,251,396,373,671,365,610,244,723,105,236,19,237,423,333,6,1
96年 2月,3428,1464,1549,2662,1357,2218,277,393,378,687,282,647,254,603,158,317,27,278,338,334,10,－
96年 3月,3713,1598,1736,2976,1503,2931,297,481,327,857,390,644,310,687,135,265,25,218,346,402,12,－
96年 4月,3658,1576,1635,2930,1615,2501,303,369,392,924,405,547,301,513,70,225,30,252,337,330,11,－
96年 5月,3834,1663,1765,3091,1587,2722,268,566,366,936,333,589,309,518,60,254,49,238,364,304,10,－
96年 6月,3812,1551,1711,3101,1519,2448,276,475,314,984,347,550,274,585,51,245,34,228,465,347,12,4
96年 7月,4304,1784,1691,3517,1890,3050,267,550,393,836,449,513,244,559,68,243,55,195,542,329,24,1
96年 8月,3904,1811,1620,3308,1584,2757,278,539,290,882,411,537,241,669,71,202,29,194,636,331,18,－
96年 9月,3892,1791,1522,3190,1698,3107,319,531,393,791,453,590,270,654,97,277,24,238,607,357,20,－
96年 10月,4074,1783,1634,3338,1843,3263,311,657,397,838,401,556,234,677,80,256,33,260,625,335,14,－
96年 11月,3491,1656,1544,3087,1678,2936,218,613,334,865,406,505,234,693,91,272,29,248,464,318,16,3
96年 12月,3638,1778,1732,3050,1709,2723,271,626,345,904,476,500,263,562,106,285,24,266,400,331,15,－
97年 1月,3683,1770,1723,3047,1589,2977,233,599,311,854,409,477,266,720,80,244,29,217,467,356,6,1
97年 2月,2855,1314,1398,2450,1333,2491,280,539,354,785,290,451,210,711,124,238,22,263,374,222,4,－
97年 3月,3806,1739,1614,2829,1441,2965,234,495,301,889,375,457,242,627,60,269,17,179,403,328,8,3
97年 4月,3605,1699,1534,2981,1489,2877,231,468,317,1062,468,442,266,664,79,329,18,217,298,311,16,－
97年 5月,3824,1657,1529,2507,1506,2916,245,452,329,920,429,481,271,710,62,267,17,216,323,315,11,－
97年 6月,3966,1593,1424,2334,1432,2816,303,422,369,820,400,474,241,614,71,269,16,196,327,307,2,－
97年 7月,4021,1610,1478,2313,1455,2789,280,428,323,826,401,464,268,617,48,216,21,258,425,293,12,8
97年 8月,3540,1649,1462,2195,1389,2772,229,458,399,732,349,501,192,462,57,227,18,192,391,283,28,－
97年 9月,3156,1440,1224,2084,1374,2381,217,398,276,589,258,398,178,486,90,192,30,183,305,229,18,－
97年 10月,3237,1622,1138,1870,1410,2365,240,366,301,583,281,406,188,518,76,216,23,149,333,211,13,－
97年 11月,2956,1561,1129,1888,1248,2318,222,342,248,525,231,335,149,409,54,170,12,156,259,189,8,1
97年 12月,2767,1441,1124,1776,1186,2468,196,303,191,420,270,329,142,387,57,142,15,122,313,207,10,2
98年 1月,2476,1245,1231,1990,1212,2137,228,314,374,556,318,326,127,461,75,198,18,173,382,225,8,－
98年 2月,2440,1253,1152,1719,1164,2342,216,293,320,475,262,350,165,444,76,184,10,166,300,217,3,1
98年 3月,2480,1293,1036,1526,1144,2121,239,320,264,498,223,308,137,420,45,145,16,128,262,220,22,2
98年 4月,2261,1220,862,1503,1081,2104,213,285,289,471,187,330,149,395,39,171,12,161,247,181,6,2
98年 5月,2395,1269,985,1434,1275,2166,208,343,287,438,217,313,176,516,40,164,19,156,266,188,10,－
98年 6月,2240,1254,951,1397,1179,2301,178,291,250,410,229,356,140,420,44,192,5,141,184,214,8,－
98年 7月,2426,1375,1038,1664,1050,2318,167,340,294,465,224,322,178,430,42,185,10,150,213,200,8,－
98年 8月,2426,1246,1092,1591,1149,2318,187,324,317,430,228,278,165,391,67,207,7,139,273,184,5,－
