date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
111年 1月,98,264,27,79,166,74,46,42,15,86,32,29,35,43,8,8,7,23,11,－,4,－
111年 2月,108,229,65,49,178,105,50,43,16,79,27,21,34,55,12,2,2,19,12,－,5,－
111年 3月,121,337,44,91,245,197,63,45,17,138,39,42,42,47,10,17,7,29,13,1,8,1
111年 4月,193,287,52,97,234,217,53,73,27,104,39,50,41,65,4,16,8,37,36,2,6,1
111年 5月,392,317,570,63,250,376,78,95,46,130,46,73,50,50,16,14,4,36,46,－,6,－
111年 6月,230,240,113,29,173,252,48,94,39,25,48,65,47,59,27,12,5,29,11,1,9,－
111年 7月,269,330,200,33,227,300,59,59,33,37,28,72,30,89,21,16,8,26,46,1,3,－
111年 8月,309,323,117,51,247,181,67,50,26,24,31,57,52,64,11,11,12,44,39,－,11,－
111年 9月,220,234,98,97,220,152,43,58,55,43,23,55,46,72,14,10,9,29,18,－,8,－
111年 10月,237,290,139,104,167,214,47,63,54,77,23,63,29,73,15,13,9,17,9,－,10,－
111年 11月,223,315,179,102,181,268,72,94,48,111,37,56,33,82,20,14,6,22,23,－,12,－
111年 12月,230,312,146,120,224,290,65,89,39,146,30,48,34,69,15,14,5,39,18,－,8,－
112年 1月,235,282,84,72,183,149,57,58,26,104,34,51,42,79,18,5,2,16,9,－,3,1
112年 2月,203,290,105,83,207,146,66,51,60,104,26,40,38,75,13,11,7,20,16,－,7,1
112年 3月,272,315,127,105,284,178,96,53,67,136,38,61,39,68,27,17,16,24,93,2,15,1
112年 4月,257,340,138,62,267,136,65,56,45,128,41,54,40,73,21,13,6,16,68,－,8,1
112年 5月,286,367,184,62,349,263,70,57,65,163,56,68,48,72,35,11,8,25,50,－,4,1
112年 6月,239,335,48,25,282,145,73,41,43,165,50,49,40,57,19,14,8,26,46,－,10,－
112年 7月,267,368,144,31,233,162,70,45,44,193,42,64,63,88,33,21,8,28,45,－,5,－
112年 8月,322,341,212,41,240,209,68,47,33,158,33,53,47,69,16,15,10,23,44,－,11,1
112年 9月,309,339,140,61,281,163,72,50,25,96,32,53,53,82,25,28,5,30,48,－,15,－
112年 10月,349,262,137,89,290,233,81,29,33,86,31,56,43,95,24,4,11,20,57,－,10,－
112年 11月,330,315,188,74,285,164,71,34,68,104,42,49,57,89,28,15,10,21,61,－,14,－
112年 12月,262,336,92,77,201,184,78,24,71,111,38,66,42,87,16,18,10,31,49,－,7,－
113年 1月,274,291,55,63,218,153,86,63,68,100,36,70,35,90,21,17,6,24,57,－,11,－
113年 2月,170,223,44,47,189,135,49,31,38,95,30,41,32,77,23,20,12,21,22,1,13,－
113年 3月,169,277,106,67,204,115,75,39,53,121,47,45,37,93,13,8,12,22,42,－,8,－
113年 4月,192,291,107,71,257,235,60,45,44,124,43,35,49,86,18,15,10,23,68,－,10,－
113年 5月,38,311,93,45,248,159,68,38,26,96,32,47,33,85,6,14,3,25,50,－,7,－
113年 6月,29,290,38,37,214,221,59,74,44,128,38,61,45,79,9,19,8,35,24,－,13,－
113年 7月,140,271,22,21,218,196,71,50,32,119,46,73,54,78,5,25,5,35,59,－,10,－
113年 8月,197,324,55,126,248,191,62,49,48,103,50,60,42,115,5,12,12,33,61,－,4,－
113年 9月,545,320,398,197,357,547,106,80,101,218,46,118,64,133,30,30,18,34,111,3,6,1
113年 10月,635,363,395,240,374,626,120,98,108,203,44,120,56,113,19,37,15,39,73,4,12,－
113年 11月,561,377,349,236,342,623,81,95,90,212,36,95,52,111,11,44,19,33,64,8,7,－
113年 12月,579,357,360,210,297,588,56,81,69,188,46,124,64,98,9,37,10,37,55,3,9,－
