date,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
108年 3月,398,452,445,485,425,464,151,95,89,236,137,162,213,233,134,143,16,55,95,64,23,1
108年 4月,467,489,490,477,432,401,154,98,118,213,159,168,166,253,112,128,17,81,76,51,22,1
108年 5月,461,397,493,552,377,285,146,119,92,205,147,193,175,198,115,160,25,71,80,55,14,－
108年 6月,427,378,452,525,446,281,147,133,124,243,145,150,135,222,108,161,12,80,132,44,15,5
108年 7月,542,502,556,626,387,214,164,156,122,190,124,203,160,203,110,170,27,85,103,59,26,1
108年 8月,508,450,639,682,359,290,160,148,108,197,116,229,115,190,89,166,15,86,96,63,19,－
108年 9月,489,400,500,715,421,250,138,121,152,184,114,159,121,218,101,142,13,62,68,47,12,2
108年 10月,407,351,418,582,345,299,131,152,149,213,120,176,92,228,90,112,19,45,46,52,18,4
108年 11月,324,317,516,562,395,325,106,122,146,196,94,160,83,277,78,106,8,55,55,54,13,2
108年 12月,298,248,434,546,365,319,86,104,144,199,109,158,82,231,80,106,12,44,76,38,9,1
109年 1月,220,253,378,508,331,266,93,125,128,166,88,132,99,206,69,72,35,46,65,52,12,2
109年 2月,290,225,290,536,450,382,184,132,145,207,111,174,150,235,68,81,24,46,74,70,14,1
109年 3月,309,194,435,628,479,444,185,143,90,256,142,216,126,223,91,97,23,42,79,93,23,2
109年 4月,258,164,492,536,391,363,123,152,109,200,118,226,133,234,99,80,22,37,76,52,20,2
109年 5月,267,178,550,385,468,328,174,171,103,247,132,244,131,165,102,97,24,54,98,23,26,1
109年 6月,295,243,584,438,494,323,174,170,139,179,148,230,100,190,93,105,29,88,98,42,26,3
109年 7月,292,232,586,569,479,372,182,191,104,214,116,180,119,184,98,97,34,75,88,45,20,4
109年 8月,209,250,705,508,494,265,154,170,100,226,126,214,131,190,60,97,34,79,108,44,8,3
109年 9月,209,203,520,651,469,264,181,159,131,204,100,187,93,198,71,117,27,71,67,64,11,－
109年 10月,244,269,521,686,475,305,102,164,93,202,104,177,78,216,40,64,34,62,43,57,13,4
109年 11月,276,266,475,538,458,285,90,115,102,217,90,124,88,186,44,66,30,50,51,47,13,2
109年 12月,199,177,292,398,372,263,74,108,61,204,80,128,61,202,45,38,23,26,75,54,11,1
110年 1月,207,250,397,563,445,191,124,127,112,233,98,150,107,237,52,84,34,51,81,67,11,4
110年 2月,172,183,249,407,430,185,101,88,79,187,121,125,100,187,32,54,31,33,70,36,10,1
110年 3月,242,237,458,533,498,335,128,116,47,200,128,144,112,195,73,72,36,37,84,58,18,2
110年 4月,267,240,488,453,439,297,116,113,59,154,104,124,122,174,57,36,25,44,71,45,13,2
110年 5月,179,129,469,282,328,246,87,98,92,117,76,112,73,180,53,48,29,30,55,38,9,1
110年 6月,50,23,368,127,144,136,34,39,37,40,29,37,32,80,11,23,5,9,9,17,5,－
110年 7月,86,32,395,247,254,120,112,34,38,76,38,49,47,67,40,26,7,22,15,36,6,3
110年 8月,186,120,559,400,448,203,189,112,79,128,62,83,42,125,87,71,30,47,45,55,14,2
110年 9月,213,174,469,481,556,267,181,90,99,192,81,70,106,157,64,49,36,70,46,66,14,4
110年 10月,188,169,408,479,507,152,111,72,87,212,61,101,79,161,55,50,30,37,48,68,13,5
110年 11月,234,204,411,498,475,228,86,90,81,191,90,97,88,176,52,54,26,36,49,51,8,1
110年 12月,229,204,409,467,374,288,76,72,69,184,78,81,55,211,72,57,17,47,28,38,10,1
111年 1月,239,226,412,452,463,264,111,94,62,256,111,120,82,227,104,87,24,32,67,41,9,1
